# DOE ARM Utqiagvik liquid-containing cloud durations -- Genie's event list
# ==========================================================================
#
# Written by northSlope_alaska_doeARM/
#   barrow_liquidContaining_cloud_susceptibility_fromGenies_data.ipynb (9f)
# from cloudDuration_ALL.csv, supplied by Genie Lorenzo Pearson 2026-09-17:
# the duration in minutes of EVERY liquid-containing (liquid + mixed-phase)
# cloud, non-precipitating, LWP threshold 0 g m-2, over 11 cold seasons
# (2014/15-2024/25, Oct 1 - Mar 31). One 30-s sample = 0.5 min is the
# resolution; the shortest cloud is one sample.
#
# LOSSLESS COMPRESSION of the list: every duration is a multiple of one
# sample and only a few hundred distinct values occur, so each row is one
# distinct duration and the number of clouds that had it. Expanding the
# rows (duration repeated n_clouds times) gives the original list exactly.
#
# 64,594 clouds; 17,392.5 h in total, 1,581.1 h/season.
# Mean 16.16 min, median 3.0 min, max 3218.5 min.
#
# KNOWN DISCREPANCY (notebook section 9a): the durations sum to 6.4% LESS
# than the ver2 seasonal liquid-containing totals (17,392 h vs 18,574 h),
# and the list matches the PRE-correction (ver1) total + a few percent.
# Provenance not yet confirmed with Genie. Retained FRACTIONS are the
# quantity to use from this file; absolute hours carry that caveat.
#
n_seasons,11
duration_min,n_clouds
143,7
143.5,3
144,7
144.5,3
145,5
145.5,6
146,10
146.5,2
147,9
147.5,3
148,1
148.5,7
149,8
149.5,6
150,4
150.5,2
151,3
151.5,7
152,10
152.5,3
153,6
153.5,6
154,5
154.5,3
155,2
155.5,4
156,4
156.5,5
157,7
157.5,1
158,1
159,2
159.5,5
160,3
160.5,2
161,5
161.5,5
162,5
162.5,6
163,6
163.5,4
164,2
164.5,5
165,6
165.5,4
166,8
166.5,3
167,3
167.5,3
168,4
168.5,6
169,9
169.5,3
170,4
170.5,3
171,7
171.5,2
172,7
172.5,3
173,5
173.5,6
174,4
174.5,4
175,3
175.5,3
176,5
176.5,5
177,3
177.5,1
178,7
179,4
179.5,1
180,2
180.5,2
181,3
181.5,5
182,5
182.5,4
183,2
183.5,3
184,1
184.5,2
185,3
185.5,2
186,2
186.5,4
187,6
187.5,2
188,3
188.5,3
189,4
189.5,3
190,6
190.5,2
191,5
191.5,2
192,2
192.5,2
193,2
193.5,3
194,4
194.5,3
195,4
195.5,1
196,5
196.5,1
197,2
197.5,3
198,6
198.5,5
199,4
199.5,3
200,2
200.5,1
201,3
201.5,3
202,4
202.5,4
203,3
203.5,1
204,3
204.5,5
205,3
205.5,2
206,2
206.5,6
207,3
207.5,2
208,4
208.5,1
209,5
209.5,4
210,2
210.5,2
211,3
211.5,1
212,3
212.5,3
213,2
214,1
214.5,2
215,2
215.5,2
216,3
216.5,3
217,2
217.5,4
218,3
219,2
219.5,3
220,8
220.5,3
221,5
221.5,3
222,3
222.5,1
223,1
223.5,3
224,4
224.5,6
225,1
226,4
226.5,2
227,4
227.5,2
228,3
228.5,2
229,4
229.5,4
230,6
230.5,3
231,4
231.5,1
232,2
232.5,2
233,3
233.5,2
234.5,3
235,1
235.5,3
236.5,7
237,2
237.5,3
238,4
239,4
240,3
240.5,2
241,1
241.5,1
242,2
242.5,1
243,1
243.5,1
244,1
244.5,1
245.5,1
246,6
246.5,1
247.5,3
248,1
248.5,2
249,2
250,3
251,3
252,3
252.5,3
253,3
253.5,2
254,1
254.5,1
255,4
256.5,1
257,3
257.5,2
258,2
258.5,4
259,4
259.5,1
260.5,1
261,1
261.5,1
262,1
263,2
263.5,2
264,2
264.5,3
265,3
266,1
266.5,1
267,3
267.5,2
268.5,2
269,1
270,5
270.5,1
271,4
271.5,1
272,2
273,4
274,1
275.5,1
276,2
276.5,2
277,1
278,5
278.5,2
279,2
279.5,1
280,1
280.5,2
282,3
282.5,1
283,3
284,3
284.5,2
285,2
286,1
286.5,2
287,2
287.5,1
288,1
289,1
289.5,2
290,1
290.5,1
291,2
291.5,1
292,4
293,2
293.5,1
294,1
295.5,3
296,1
297,1
298,6
299,3
300,2
300.5,2
301,1
301.5,1
302,1
302.5,2
303,1
304,1
304.5,2
305,3
306.5,1
307,5
307.5,2
308,1
309,2
310,1
311,1
312,1
313,1
313.5,1
316,2
316.5,2
318,2
319,2
319.5,2
320.5,1
321,3
321.5,1
322,2
322.5,1
323.5,1
324,2
324.5,2
325,3
325.5,2
326,1
326.5,1
327,1
327.5,1
328,1
328.5,1
329,1
330,2
330.5,1
331,2
331.5,2
332,2
332.5,2
333,2
333.5,2
334.5,1
335,2
335.5,1
336.5,3
339,2
340,1
340.5,3
341,2
342,2
343,3
343.5,2
344,5
344.5,3
345.5,1
347,2
348,2
349.5,3
351.5,1
352,2
352.5,2
353,1
353.5,2
